screen_name,label
ronthorp,Pro-Science
Bob_Wachter,Pro-Science
luckytran,Pro-Science
TruthTeam101,Anti-Science
2021Freedom1776,Anti-Science
KrutikaKuppalli,Pro-Science
GovLarryHogan,Pro-Science
mlipsitch,Pro-Science
ajividen73,Anti-Science
rwang0,Pro-Science
Patriot_Girl_TX,Anti-Science
susananderton5,Anti-Science
aetiology,Pro-Science
Stach83092936,Anti-Science
werocktheplanet,Anti-Science
mercola,Pro-Science
nicole1916_eire,Pro-Science
CarlosdelRio7,Pro-Science
kathyfisher10,Anti-Science
MsAnuJohanna,Pro-Science
Holly02375824,Anti-Science
HelenBranswell,Pro-Science
tmprowell,Pro-Science
afctintin,Anti-Science
EricTopol,Pro-Science
KatieJ04560306,Anti-Science
nicholas_bagley,Pro-Science
Ay5e1,Anti-Science
JohnJHarwood,Anti-Science
michaelmina_lab,Pro-Science
PeterHotez,Pro-Science
AmbermireG,Anti-Science
miraforeman,Anti-Science
Surgeon_General,Pro-Science
MichellePoulte6,Anti-Science
VegGirlQ,Anti-Science
k_stephensonMD,Pro-Science
ProfEmilyOster,Pro-Science
CordeiroRick,Anti-Science
binajv,Pro-Science
jeremyfaust,Pro-Science
DrJaimeFriedman,Pro-Science
DrLeanaWen,Pro-Science
nataliexdean,Pro-Science
Sorothavy,Anti-Science
antokindness,Pro-Science
RobertKennedyJr,Anti-Science
NateSilver538,Pro-Science
Cjk857,Pro-Science
ConjuredRundown,Anti-Science
BusyDrT,Anti-Science
ghn_news,Pro-Science
quingem,Anti-Science
trvrb,Pro-Science
conscious_bkr,Anti-Science
languillem,Anti-Science
colinjarrett587,Anti-Science
CaligirlLeftie,Anti-Science
meganranney,Pro-Science
DemFromCT,Pro-Science
DKThomp,Pro-Science
WakeTheFlockUp6,Pro-Science
seb293,Pro-Science
Lilymackay19,Anti-Science
clubfmphilly,Anti-Science
MoNscience,Pro-Science
DrRobertGlatter,Pro-Science
NACCHOalerts,Pro-Science
chrissyfarr,Pro-Science
carla_chatman,Pro-Science
ssr57,Anti-Science
ashishkjha,Pro-Science
Truth_Seeker71,Pro-Science
JoeBrunoWSOC9,Pro-Science
laurahelmuth,Pro-Science
dremilyportermd,Pro-Science
JenniferNuzzo,Pro-Science
CDCDirector,Pro-Science
ScottGottliebMD,Pro-Science
MomFluffyz,Anti-Science
VgnNutrition46,Pro-Science
LauraSanthanam,Pro-Science
Craig_A_Spencer,Pro-Science
devisridhar,Pro-Science
drlucymcbride,Pro-Science
jljcolorado,Pro-Science
skathire,Pro-Science
jeffreymadwisc,Anti-Science
brianstelter,Pro-Science
micharu333,Pro-Science
DBelardoMD,Pro-Science
BioAndBaseball,Pro-Science
dvergano,Pro-Science
Laurie_Garrett,Pro-Science
matthewherper,Pro-Science
bhrenton,Pro-Science
InfectiousDz,Pro-Science
doritmi,Pro-Science
soledadobrien,Pro-Science
celinegounder,Pro-Science
gregggonsalves,Pro-Science
MMKavanagh,Pro-Science
RyanMarino,Pro-Science
KattyKay_,Pro-Science
DrTomFrieden,Pro-Science
ddiamond,Pro-Science
stephaniemlee,Pro-Science
TedNesi,Pro-Science
ushahmd,Pro-Science
bethlinas,Pro-Science
holmescnn,Pro-Science
bylenasun,Pro-Science
ichaydon,Pro-Science
jflier,Pro-Science
MarcGoldwein,Pro-Science
AliceOllstein,Pro-Science
sarahkliff,Pro-Science
michaelzlin,Pro-Science
drJoshS,Pro-Science
MeganMolteni,Pro-Science
NAChristakis,Pro-Science
Eli_Sherman,Pro-Science
DrChoueiri,Pro-Science
_cingraham,Pro-Science
DrRobDavidson,Pro-Science
gnayyar,Pro-Science
FutureDocs,Pro-Science
VirusesImmunity,Pro-Science
spottydoggie,Pro-Science
DLeonhardt,Pro-Science
JJcolemanMD,Anti-Science
AaronNeinstein,Pro-Science
NathanLo3579,Pro-Science
JohnBerman,Anti-Science
NathanGrubaugh,Pro-Science
